unique_id,year,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,cleantech,abbreviation,planning,construction,active,graduate,dropout
75,2024,IPC Canada Ltd.,Blackrod,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Under Construction,Energy,2927,55.611711,-112.611923,Private,Oil & Gas - Upstream,No,EN-OG-U,0,1,1,0,0
76,2017,Blue Fuel Energy Corp.,Clean Methanol Plant,Chetwynd,BC,Announced & Planning,Energy,2500,55.698147,-121.629689,Private,Low Carbon Fuels,Yes,EN-LCF,1,0,1,0,0
76,2018,Blue Fuel Energy Corp.,Clean Methanol Plant,Chetwynd,BC,Announced & Planning,Energy,2500,55.698147,-121.629689,Private,Low Carbon Fuels,Yes,EN-LCF,1,0,1,0,0
76,2019,Blue Fuel Energy Corp.,Clean Methanol Plant,Chetwynd,BC,Announced & Planning,Energy,200,55.6981,-121.6297,Private,Low Carbon Fuels,Yes,EN-LCF,1,0,1,0,0
76,2020,Blue Fuel Energy Corp.,Clean Methanol Plant,Chetwynd,BC,Announced & Planning,Energy,1500,55.698147,-121.629689,Private,Low Carbon Fuels,Yes,EN-LCF,1,0,1,0,0
76,2021,Blue Fuel Energy Corp.,Clean Methanol Plant,Chetwynd,BC,Announced & Planning,Energy,2500,55.698147,-121.629689,Private,Low Carbon Fuels,Yes,EN-LCF,1,0,1,0,0
76,2022,Blue Fuel Energy Corp.,Clean Methanol Plant,Chetwynd,BC,Announced & Planning,Energy,2500,55.698147,-121.629689,Private,Low Carbon Fuels,Yes,EN-LCF,1,0,1,0,0
76,2023,Blue Fuel Energy Corp.,Clean Methanol Plant,Chetwynd,BC,Announced & Planning,Energy,1000,55.698147,-121.629689,Private,Low Carbon Fuels,Yes,EN-LCF,1,0,1,0,0
76,2024,Blue Fuel Energy Corp.,Clean Methanol Plant,Chetwynd,BC,Announced & Planning,Energy,1000,55.698147,-121.629689,Private,Low Carbon Fuels,Yes,EN-LCF,1,0,1,0,0
83,2020,Talisker Resources Ltd.,Bralorne Mine/King/ Pioneer Mines,Gold Bridge,BC,Under Construction,Mining,100,50.927276,-122.849121,Private,Precious Metal,No,MIN-PM,0,1,1,0,0
