Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,greenfield_flag,FOAK_flag
3215,Dokie Phase II Wind Power Project,0,BC,Private,2018,2020,3,In Review,In Review,0,0,283.8,0.567,55.79771,-122.2823,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3401,Dow Chemical,Expansion of Fort Saskatchewan Facility,AB,Private,2018,2020,3,Announced & Planning,Announced & Planning,0,0,250,0.534,53.733828,-113.171906,Energy,Other,Yes,EN-OTH,0,0
3402,Dow Chemical Canada,Dow Net-Zero Polyethylene and Ethylene Derivatives Facility,AB,Private,2018,2024,7,Announced & Planning,Under Construction,1,1,11500,0.98,53.733898,-113.172154,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3500,Cenovus Energy,Narrows Lake,AB,Private,2018,2018,1,Approved,Approved,0,0,1600,0.872,55.638987,-110.846839,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3501,Husky Energy Inc.,Husky Energy Exploration Drilling Project,NL,Private,2018,2022,5,In Review,In Review,0,0,265,0.555,46.9,-48.2,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
3502,BP Canada,Newfoundland Orphan Basin Exploration Drilling Project,NL,Private,2018,2023,6,In Review,Under Construction,0,1,426,0.65,50.2,-49.1,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
3503,Nexen,Nexen Energy Flemish Pass Exploration Drilling Project,NL,Private,2018,2021,4,In Review,Approved,0,0,301,0.581,47.5,-46.5,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
3504,Statoil Canada,Flemish Pass Exploration Drilling Project,NL,Private,2018,2023,6,In Review,Approved,0,0,722,0.752,48.3,-46.1,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
3505,Irving and Irving Tissue,Modernization to improve energy use and decrease carbon emissions.,NB,Private,2018,2018,1,Announced & Planning,Announced & Planning,0,0,40,0.177,45.25901,-66.09439,Forest,Other,Yes,FOR-OTH,0,0
3506,Materiaux Blanchet,Modernization,QC,Private,2018,2019,2,Announced & Planning,Announced & Planning,0,0,25,0.124,48.562522,-78.171104,Forest,Other,Yes,FOR-OTH,0,0
3507,Resolute,Capacity increase,QC,Private,2018,2022,5,Announced & Planning,Announced & Planning,0,0,52.3,0.234,48.746003,-72.514341,Forest,Pulp & Paper,No,FOR-P&P,0,0
3508,Skeena Sawmills,Pellet Plant,BC,Private,2018,2019,2,Announced & Planning,Announced & Planning,0,0,20,0.088,54.517778,-128.634556,Forest,Other,Yes,FOR-OTH,1,0
3509,Wataynikaneyap Power,Wataynikaneyap Transmission Project,ON,Private,2018,2024,7,In Review,Under Construction,1,1,1900,0.89,49.681474,-92.497798,Energy,Trans & Distr,No,EN-T&D,1,0
3600,Fibre Pontiac,Fibre Pontiac (The Biomass Conversion Centre),QC,Private,2018,2024,7,In Review,In Review,1,0,120,0.388,45.542307,-76.109056,Energy,Waste Biomass,Yes,EN-BIO,1,1
3601,PEI Energy Corporation,Slemon Park Micro-Grid Project,PE,Private,2018,2023,6,In Review,Under Construction,0,1,49.2,0.213,46.433992,-63.821938,Energy,Trans & Distr,No,EN-T&D,1,1
3602,Enbridge Pipelines Inc.,Line 21 (Norman Wells Pipeline) Segment Replacement Project,NT,Private,2018,2018,1,Approved,Approved,0,0,530,0.697,61.833863,-121.090706,Energy,Trans & Distr,No,EN-T&D,1,0
3603,Maritime Resources Corp.,Hammerdown (Green Bay),NL,Private,2018,2024,7,Announced & Planning,Approved,1,0,75,0.292,49.5544,-56.2372,Mining,Precious Metal,No,MIN-PM,1,0
3604,AuMEGA (previously Matador Mining Limited),Cape Ray,NL,Private,2018,2024,7,In Review,In Review,1,0,145.4,0.439,47.4503,-58.5547,Mining,Other,No,MIN-OTH,1,0
3607,North Coal Ltd./CanAus Coal Ltd.,Michel Creek Coking Coal,BC,Private,2018,2018,1,In Review,In Review,0,0,0,0,0,0,Mining,Coal,No,MIN-COAL,1,0
3608,Coeur Silvertip Holdings,Silvertip,BC,Private,2018,2018,1,In Review,In Review,0,0,75,0.292,59.968249,-128.767588,Mining,Precious Metal,No,MIN-PM,1,0
3610,Telkwa Mining Ltd.,Tenas Project,BC,Private,2018,2024,7,In Review,In Review,1,0,115,0.38,54.62717,-127.161516,Mining,Coal,No,MIN-COAL,1,0
3611,Spanish Mountain Gold Ltd.,Spanish Mountain,BC,Private,2018,2018,1,In Review,In Review,0,0,507,0.69,52.57771,-121.477008,Mining,Precious Metal,No,MIN-PM,1,0
3615,NB Power,Advanced Meter Infrastructure,NB,Public,2018,2024,7,In Review,Approved,1,0,109.6,0.369,0,0,Energy,Waste Biomass,Yes,EN-BIO,0,0
3616,NB Power,Point Lepreau Nuclear Generating Station Major Outage and Inspections,NB,Public,2018,2019,2,In Review,Under Construction,0,1,53,0.235,45.068668,-66.454523,Energy,Nuclear,Yes,EN-NUC,0,0
3617,St Barbara Ltd.,Beaver Dam Gold Project,NS,Private,2018,2024,7,Announced & Planning,In Review,1,0,314.5,0.585,44.98,-62.94,Mining,Other,No,MIN-OTH,1,0
3621,Greengate Power Corporation,Travers Solar Project,AB,Private,2018,2022,5,Announced & Planning,Under Construction,0,1,500,0.677,50.303007,-112.655158,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3622,CVW Cleantech,Titanium and Zircon Extraction Facility,AB,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,610,0.726,57.336236,-111.754013,Mining,Critical Mineral,Yes,MIN-CM,1,0
3625,Pembina Pipelines Corp.,Peace Pipeline Expansion,AB,Private,2018,2019,2,Announced & Planning,Under Construction,0,1,280,0.565,55.413122,-119.16149,Energy,Trans & Distr,No,EN-T&D,0,0
3627,Pembina Pipelines Corp.,Empress Extraction Plant Fractionation and Terminalling Facilities,AB,Private,2018,2020,3,Announced & Planning,Under Construction,0,1,120,0.388,50.680688,-110.031222,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
3628,EPCOR,EL Smith Solar Farm,AB,Private,2018,2022,5,Announced & Planning,Under Construction,0,1,40.7,0.184,53.470023,-113.611959,Energy,Clean Electricity,Yes,EN-CLEL,1,0
