unique_id,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,entry_year,entry_status,last_year,last_status,reporting_years,active,graduate,dropout,success_flag,first_construction_year_success,years_to_construction_success,years_to_graduation,years_active,years_to_dropout,cleantech,cost_band
3008.0,Fortress Global Enterprises,Bioproduct mill,,QC,Announced & Planning,Forest,150.0,45.598715,-75.256778,Private,Pulp & Paper,2018,Announced & Planning,2019,Announced & Planning,2,0,0,1,0,,,,,2.0,No,$100M-$499M
3101.0,Frontier Lithium Inc.,Pakeagama Lake,,ON,Announced & Planning,Mining,147.3,52.6,-93.37,Private,Critical Mineral,2018,Announced & Planning,2024,Announced & Planning,7,1,0,0,0,,,,7.0,,Yes,$100M-$499M
3102.0,Tacora Resources Inc,Scully,,NL,Approved,Mining,210.1,52.91,-66.91,Private,Other,2018,Approved,2019,Under Construction,2,0,1,0,1,2019.0,2.0,2.0,,,No,$100M-$499M
3103.0,Goldcorp Inc.,Porcupine (Century),,ON,Announced & Planning,Mining,1278.7,48.46,-81.24,Private,Precious Metal,2018,Announced & Planning,2020,In Review,3,0,0,1,0,,,,,3.0,No,"$1,000M-$4,999M"
3104.0,Gensource Potash Corp,Vanguard,,SK,Announced & Planning,Mining,279.86,50.84,-106.21,Private,Other,2018,Announced & Planning,2024,Approved,7,1,0,0,0,,,,7.0,,No,$100M-$499M
3105.0,Ram River Coal,Aries,,AB,Announced & Planning,Mining,1028.0,52.18,-115.58,Private,Coal,2018,Announced & Planning,2024,Announced & Planning,7,1,0,0,0,,,,7.0,,No,"$1,000M-$4,999M"
3106.0,Glencore plc,Onaping Depth,,ON,Announced & Planning,Mining,900.0,46.63706,-81.36921,Private,Other,2018,Announced & Planning,2024,Under Construction,7,1,0,0,1,2020.0,3.0,,7.0,,No,$500M-$999M
3200.0,Innergex Renewable Energy Inc.,Big Creek Hydroelectric,,BC,In Review,Energy,,51.801592,-122.75735,Private,Clean Electricity,2018,In Review,2020,In Review,3,0,0,1,0,,,,,3.0,Yes,
3201.0,Bridge Power Hydro Developments Ltd.,Bitter Creek,,BC,In Review,Energy,,,,Public,Clean Electricity,2018,In Review,2018,In Review,1,0,0,1,0,,,,,1.0,Yes,
3202.0,BC Hydro,BC Hydro Upgrade Alberni/Long Beach Transmission Line,,BC,In Review,Energy,,,,Public,Clean Electricity,2018,In Review,2022,In Review,5,0,0,1,0,,,,,5.0,Yes,
3205.0,NB Power,Fundy Isles Transmission Power Line Project,,NB,In Review,Energy,35.0,44.946988,-66.974109,Public,Trans & Distr,2018,In Review,2019,Under Construction,2,0,1,0,1,2019.0,2.0,2.0,,,No,<$100M
3206.0,Hydro-Quebec,New England Clean Energy Connect (NECEC) project,,QC,Announced & Planning,Energy,950.0,45.72302,-70.984282,Public,Clean Electricity,2018,Announced & Planning,2024,Under Construction,7,1,0,0,1,2023.0,6.0,,7.0,,Yes,$500M-$999M
3208.0,"Transmission Developers Inc. (TDI),",Transmission Line - Champlain Hudson Power Express,,QC,Announced & Planning,Energy,2200.0,45.096127,-73.343089,Private,Trans & Distr,2018,Announced & Planning,2024,Under Construction,7,1,0,0,1,2023.0,6.0,,7.0,,No,"$1,000M-$4,999M"
3211.0,Dahl Creek Hydro Power Limited Partnership,Dahl Creek Hydroelectric Project,,BC,In Review,Energy,,,,Private,Clean Electricity,2018,In Review,2022,In Review,5,0,0,1,0,,,,,5.0,Yes,
3215.0,Dokie Phase II Wind Power Project,0,,BC,In Review,Energy,283.8,55.79771,-122.2823,Private,Clean Electricity,2018,In Review,2020,In Review,3,0,0,1,0,,,,,3.0,Yes,$100M-$499M
3401.0,Dow Chemical,Expansion of Fort Saskatchewan Facility,,AB,Announced & Planning,Energy,250.0,53.733828,-113.171906,Private,Other,2018,Announced & Planning,2020,Announced & Planning,3,0,0,1,0,,,,,3.0,Yes,$100M-$499M
3402.0,Dow Chemical Canada,Dow Net-Zero Polyethylene and Ethylene Derivatives Facility,,AB,Announced & Planning,Energy,6000.0,53.733898,-113.172154,Private,Clean Electricity,2018,Announced & Planning,2024,Under Construction,7,1,0,0,1,2024.0,7.0,,7.0,,Yes,"$5,000M+"
3500.0,Cenovus Energy,Narrows Lake,,AB,Approved,Energy,1600.0,55.6389865,-110.8468385,Private,Clean Electricity,2018,Approved,2018,Approved,1,0,0,1,0,,,,,1.0,Yes,"$1,000M-$4,999M"
3501.0,Husky Energy Inc.,Husky Energy Exploration Drilling Project,,NL,In Review,Energy,265.0,46.9,-48.2,Private,Oil & Gas - Upstream,2018,In Review,2022,In Review,5,0,0,1,0,,,,,5.0,No,$100M-$499M
