Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,_cost_quintile_bayes,p_bayes,risk_score,years_remaining,p_cox,blended_prob,priority_index,urgency_scale_(0-1),power_ranking
6022,NTPC,Fort Providence and Kakisa Transmission Line ,NT,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,60.0,0.254,60.977458,-117.221393,Energy,Trans & Distr,No,EN-T&D,0,0.5594247983985213,0.48928135894062674,2.0,0.025236695621509098,0.34574955728771645,0.17287477864385822,0.07173326018851885,0.2361430384480374
6023,STLLR Gold Inc.,Tower Gold (formerly Garrison/Golden Highway),ON,Private,2024,2024,1,Announced & Planning,Announced & Planning,1,0,517.0,0.694,48.493967,-79.98755,Mining,Precious Metal,No,MIN-PM,2,0.8215256669990532,0.3937641530442728,4.0,0.02036054410689292,0.501059617842189,0.12526490446054725,0.05178050367051491,0.32134797217351935
6025,Rock Tech Lithium Inc.,Georgia Lake,ON,Private,2023,2024,2,Announced & Planning,Announced & Planning,1,0,255.88,0.551,49.445411,-88.039681,Mining,Critical Mineral,Yes,MIN-CM,2,0.6196210030347992,0.5251518289205102,3.0,0.027061607080883787,0.382597244653233,0.127532414884411,0.052730791487180656,0.2506506633868121
6026,TransAlta Corporation,Ghost River WaterCharger Battery Energy Storage,AB,Private,2022,2024,3,Announced & Planning,Approved,1,0,120.0,0.389,51.217782,-114.704604,Energy,"DER, Storage, EV",Yes,EN-DER,1,0.971029568678574,1.1808447139184974,2.0,0.059824426436066225,0.6065475117815708,0.3032737558907854,0.12638198774421372,0.414481302166628
6028,TransAlta Corporation,Glacier Gas Plant CSS (Phase 2),AB,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,100.0,0.343,55.559541,-119.60376,Energy,Oil & Gas - Downstream,No,EN-OG-D,1,0.8288406887937504,0.9409619069392359,2.0,0.047968252205271456,0.5164917141583588,0.2582458570791794,0.1075113077242227,0.3528995515847043
6029,LNG Newfoundland and Labrador,Grassy Point LNG,NL,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,10000.0,0.976,47.752791,-54.027147,Energy,Oil & Gas - Downstream,No,EN-OG-D,4,0.4628067348834723,0.5106274780062474,2.0,0.02632309218288542,0.2882132778032375,0.14410663890161876,0.059676860174884154,0.19679871075189617
6031,Diageo Canada Inc.,Implantation de mesures de reduction des emissions de GES et de conversion energetique,QC,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,94.0,0.334,,-74.12034257,Energy,Waste Biomass,Yes,EN-BIO,0,0.7754744757585529,0.7788205762350136,2.0,0.03986987115939855,0.4812326339188911,0.24061631695944555,0.10012296806638055,0.32878876757788683
6040,FD Power,Kopahawakenum,SK,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,30.0,0.146,,,Energy,Other,Yes,EN-LCF,0,0.8711528757799202,1.0457037236439963,2.0,0.05316338070549442,0.5439570777501498,0.2719785388750749,0.11326651840085113,0.3716808540104303
6046,"LNG Canada (Shell Canada Limited, PETRONAS, Korea Gas Corporation (KOGAS), Mitsubishi Corporation, and PetroChina Company Limited) ",LNG Canada Phase 2,BC,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,25000.0,0.995,54.081951,-128.638058,Energy,Oil & Gas - Downstream,No,EN-OG-D,4,0.02138310546857932,0.22825844439146817,2.0,0.011853660127980059,0.017571327332339615,0.008785663666169808,0.0029653792695594323,0.011728948107227542
6050,Miniere O3,Marban Block,QC,Private,2023,2024,2,Announced & Planning,Announced & Planning,1,0,435.1,0.653,48.137067,-77.97919,Mining,Other,No,MIN-OTH,2,0.09934953282093764,0.23269713800186304,3.0,0.012082767199519062,0.0644428265723702,0.021480942190790067,0.008285826039796548,0.041980026359340734
6051,Fox River Resources Corporation,Martison,ON,Private,2024,2024,1,Announced & Planning,Announced & Planning,1,0,2326.92,0.908,50.31444,-83.41444,Mining,Other,No,MIN-OTH,4,0.751713122696553,0.370517068332852,4.0,0.019170094763117262,0.4586959115231787,0.11467397788079467,0.047341966854974785,0.2941543336558971
6053,TC Energy Corporation,Meaford Pumped Storage Project,ON,Private,2022,2024,3,In Review,In Review,1,0,4300.0,0.942,,,Energy,"DER, Storage, EV",Yes,EN-DER,4,0.9136286675917454,1.0979907428609783,2.0,0.055746166161362076,0.5704756670195921,0.28523783350979603,0.11882333790489856,0.3898147353737147
6056,San Group,Mill and port upgrades,BC,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,100.0,0.343,,,Forest,Pulp & Paper,No,FOR-P&P,1,0.25608868629824083,0.3644951237200518,2.0,0.01886148391939302,0.16119780534670172,0.08059890267335086,0.03306149057543179,0.10994327943819375
6060,Sayona Nord,Moblan ,QC,Private,2024,2024,1,Announced & Planning,Announced & Planning,1,0,822.6,0.785,50.739349,-74.835889,Mining,Other,No,MIN-OTH,3,0.10674490584545243,0.23269713800186304,4.0,0.012082767199519062,0.06888005038707908,0.01722001259676977,0.006500118932012462,0.04392807780505243
6062,Voltarix Group,Moon Lake Solar Project,AB,Private,2022,2024,3,Announced & Planning,Approved,1,0,43.0,0.189,53.422494,-114.990517,Energy,Clean Electricity,Yes,EN-CLEL,0,0.9455720921326908,1.2549336006167915,2.0,0.06345632950990021,0.5927257870835746,0.2963628935417873,0.1234857239723734,0.4050297618390941
6063,Northriver Midstream NEBC Connector GP Inc.,NEBC Connector Project,Multi,Private,2022,2024,3,In Review,Approved,1,0,350.1,0.615,56.9228,-122.058,Energy,Clean Electricity,Yes,EN-CLEL,2,0.8861253946145815,1.0455309037346399,2.0,0.05315483233786611,0.5529371697038953,0.27646858485194764,0.11514824557757593,0.37782160005336757
6064,One Sky Forest Products,New OSB Mill,SK,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,400.0,0.635,,,Forest,EWP,No,FOR-EWP,2,0.6072182164473681,0.9236023505197732,2.0,0.0471044796356922,0.3831727217226977,0.19158636086134884,0.07957507137698601,0.261733661584413
6067,Northern Petrochemical Corp.,Northern Petrochemical Ammonia and Methanol Production Facility,AB,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,2500.0,0.913,54.760765,-118.572392,Energy,Low Carbon Fuels,Yes,EN-LCF,4,0.9080795818985947,0.9838047529420494,2.0,0.05009666683947622,0.5648864158749473,0.28244320793747363,0.11765214212755112,0.3859927063759888
6072,Peak Renewables,Pellet Plant,BC,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,29.0,0.143,58.80493975,-122.6973869,Forest,Other,Yes,FOR-OTH,0,0.11195912583851204,0.4861165735233168,2.0,0.02507552282048231,0.07720568463130015,0.038602842315650074,0.015461419552216844,0.05250797859966682
6077,Hydro One,Power Downtown Toronto,ON,Public,2022,2024,3,Announced & Planning,Announced & Planning,1,0,120.0,0.389,,,Energy,Trans & Distr,No,EN-LCF,1,0.8962856218609437,1.0501753118333965,2.0,0.053384536607121835,0.5591251877594149,0.27956259387970744,0.1164449095544162,0.38205307647741543
6081,Newcrest Mining Ltd./Imperial Metals,Red Chris Block Cave Expansion,BC,Private,2022,2024,3,Announced & Planning,Approved,1,0,2632.0,0.916,,,Mining,Precious Metal,No,MIN-PM,4,0.0326950511604343,0.0966623037104579,2.0,0.005037017685261991,0.021631837770365377,0.010815918885182688,0.0038162361295964774,0.014505597114057816
6083,Voltarix Group,Rocktree Solar Project,AB,Private,2022,2024,3,Announced & Planning,Approved,1,0,40.0,0.178,53.515088,-113.912081,Energy,Clean Electricity,Yes,EN-CLEL,0,0.9455720921326908,1.2549336006167915,2.0,0.06345632950990021,0.5927257870835746,0.2963628935417873,0.1234857239723734,0.4050297618390941
6084,DP Energy,Saamis Solar Farm,AB,Private,2022,2024,3,Announced & Planning,In Review,1,0,600.0,0.714,50.070674,-110.70734,Energy,Clean Electricity,Yes,EN-CLEL,3,0.9784309107822862,1.0455309037346399,2.0,0.05315483233786611,0.6083204794045182,0.3041602397022591,0.12675350302231303,0.41569368885163616
6087,Magna Mining Inc.,Shakespeare,ON,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,232.9,0.527,46.291979,-81.858789,Mining,Other,No,MIN-OTH,2,0.7774505589001721,0.4184698127951961,2.0,0.021624101300653176,0.47511997586036453,0.23755998793018226,0.09884209534814987,0.32460882365547866
